,City,Lat-Long 1,Lat-Long 2,Box size
79,"('Zhanjiang', 'China')","('20.2003467', '109.6243279')","('21.9581212', '111.0134118')",242.3006593223015 km
80,"('Riyadh', 'Saudi Arabia')","('24.478916', '46.5560104')","('24.798916', '46.8760104')",48.02086905066344 km
81,"('Cangzhou', 'China')","('37.4754882', '115.6988989')","('38.946763', '118.0535885')",263.04025624162995 km
82,"('Dar es Salaam', 'Tanzania')","('-7.1868448', '39.0070263')","('-6.5661971', '39.9320436')",123.13948516904527 km
83,"('Maoming', 'China')","('21.3162436', '110.3209553')","('22.7070097', '111.6782647')",208.22042879694774 km
84,"('Huanggang', 'China')","('30.2960187', '114.7073226')","('30.6160187', '115.0273226')",46.93648927862479 km
85,"('Xinyang', 'China')","('31.967372', '113.9076596')","('32.287372', '114.2276596')",46.59332112878348 km
86,"('Shangrao', 'China')","('27.8035885', '116.2240265')","('29.7018287', '118.482163')",304.7871959285708 km
87,"('Luoyang', 'China')","('33.56382', '111.1298106')","('35.0714781', '112.9740507')",238.28066493747355 km
88,"('Bijie', 'China')","('27.1258633', '105.1265997')","('27.4458633', '105.4465997')",47.54978200077131 km
89,"('Yantai', 'China')","('36.4506989', '119.5475578')","('38.4207808', '121.9290305')",303.6692246324674 km
90,"('Quanzhou', 'China')","('24.7155492', '118.5123605')","('25.0355492', '118.8323605')",47.980356372319136 km
91,"('Hangzhou', 'China')","('29.1888286', '118.3396948')","('30.5648514', '120.7128549')",275.3530269991532 km
92,"('Miami', 'United States')","('25.7090517', '-80.31976')","('25.8557827', '-80.139157')",24.338984055573196 km
93,"('Kunming', 'China')","('24.388848', '102.1697441')","('26.548485', '103.6683522')",282.74622105345634 km
94,"('Nanchong', 'China')","('30.632362', '105.9226662')","('30.952362', '106.2426662')",46.86848350853112 km
95,"('Zunyi', 'China')","('27.1436559', '105.6057714')","('29.2244463', '108.2077178')",344.14827802163387 km
96,"('Lu’an', 'China')","('31.0141087', '115.3654294')","('32.6085277', '117.2495082')",251.1500998199529 km
97,"('Yichun', 'China')","('27.5471367', '113.8834782')","('29.1027622', '116.1487448')",281.18172875934783 km
98,"('Taizhou', 'China')","('27.9518005', '120.2850399')","('29.3472596', '122.1787614')",241.23153042214878 km
99,"('Liaocheng', 'China')","('35.7728789', '115.2656364')","('37.0314272', '116.5441706')",180.70978193682487 km
100,"('Qujing', 'China')","('25.3336418', '103.6343084')","('25.6536418', '103.9543084')",47.87302881056981 km
101,"('Xiangyang', 'China')","('31.2305117', '110.7584301')","('32.6370468', '113.1155393')",272.0253728717768 km
102,"('Sūrat', 'India')","('21.0264607', '72.6481281')","('21.3464607', '72.9681281')",48.57432593367086 km
103,"('Baghdad', 'Iraq')","('33.1797569', '44.1846152')","('33.4868251', '44.5702931')",49.489058260409536 km
104,"('Qingdao', 'China')","('35.4623481', '119.509216')","('37.148318', '121.6979597')",271.3586092810154 km
105,"('Singapore', 'Singapore')","('1.1304753', '103.6920359')","('1.4504753', '104.0120359')",50.202839185669156 km
106,"('Dallas', 'United States')","('32.613216', '-97.000482')","('33.0239366', '-96.4636317')",67.83860162124209 km
107,"('Changde', 'China')","('28.4085014', '110.4868841')","('30.1284258', '112.3016023')",259.69593333432425 km
108,"('Dazhou', 'China')","('31.056036', '107.3427564')","('31.376036', '107.6627564')",46.78205571034981 km
109,"('Suzhou', 'China')","('30.7602635', '119.9162087')","('32.0457785', '121.382253')",199.37902614658094 km
110,"('Philadelphia', 'United States')","('39.867005', '-75.2802977')","('40.1379593', '-74.9558314')",40.89947971036539 km
111,"('Jieyang', 'China')","('22.8128978', '115.601988')","('23.7780839', '116.7907194')",161.90473949668674 km
112,"('Nairobi', 'Kenya')","('-1.444471', '36.6509378')","('-1.163332', '37.1038871')",59.223893267584266 km
113,"('Ankara', 'Turkey')","('39.7607893', '32.6940412')","('40.0807893', '33.0140412')",44.84254347780677 km
114,"('Tai’an', 'China')","('35.6339965', '116.041489')","('36.477689', '117.996664')",199.48517233555552 km
115,"('Yulin', 'China')","('36.8153673', '107.251115')","('39.5867765', '111.2424779')",465.59202900962214 km
116,"('Dezhou', 'China')","('36.4093742', '115.7548016')","('38.0107036', '117.6003773')",241.69540592726392 km
117,"('Houston', 'United States')","('29.5370705', '-95.9097419')","('30.1103506', '-95.0120525')",107.54878107169208 km
118,"('Atlanta', 'United States')","('33.647808', '-84.551068')","('33.886823', '-84.28956')",35.912240399132756 km
119,"('Rangoon', 'Burma')","('16.6367129', '96.0009916')","('16.9567129', '96.3209916')",49.17048808213892 km
120,"('Toronto', 'Canada')","('43.5802533', '-79.6392727')","('43.8554425', '-79.1132193')",52.26787796695643 km
121,"('Suihua', 'China')","('46.4920483', '126.8007485')","('46.8120483', '127.1207485')",43.19054143865079 km
122,"('Washington', 'United States')","('38.7916303', '-77.1197663')","('38.9958524', '-76.909366')",29.106351503842742 km
123,"('Qiqihar', 'China')","('47.1923672', '123.7564653')","('47.5123672', '124.0764653')",43.01458855317551 km
124,"('Jinhua', 'China')","('28.5277261', '119.2163307')","('29.6822054', '120.7784546')",198.72929984478796 km
125,"('Saint Petersburg', 'Russia')","('59.7441481', '30.0433427')","('60.0907368', '30.5671662')",48.47274651611444 km
126,"('Shantou', 'China')","('23.196377', '116.5175918')","('23.516377', '116.8375918')",48.23478697819679 km
127,"('Sydney', 'Australia')","('-34.1732416', '150.260825')","('-33.3641481', '151.343898')",134.60846914959419 km
128,"('Weinan', 'China')","('34.2107074', '108.9546583')","('35.8546965', '110.6059875')",236.57311762549634 km
129,"('Suqian', 'China')","('33.1374793', '117.9327865')","('34.4218634', '119.1710577')",182.88841646143683 km
130,"('Guadalajara', 'Mexico')","('20.6037373', '-103.4070646')","('20.7526919', '-103.2637617')",22.24618484936129 km
131,"('Suzhou', 'China')","('30.7602635', '119.9162087')","('32.0457785', '121.382253')",199.37902614658094 km
132,"('Fuzhou', 'China')","('26.5019595', '115.5873148')","('28.4968354', '117.3009192')",278.4437556622819 km
133,"('Zhaotong', 'China')","('26.5357627', '102.8694614')","('28.671642', '105.3125775')",337.8966273842297 km
134,"('Pudong', 'China')","('30.7277605', '121.4525228')","('31.4167763', '122.3283477')",113.23163693382716 km
135,"('Yongzhou', 'China')","('26.263568', '111.4481495')","('26.583568', '111.7681495')",47.70750977328617 km
136,"('Belo Horizonte', 'Brazil')","('-20.0594646', '-44.0632916')","('-19.7765437', '-43.8572199')",38.03260871761663 km
137,"('Zhangzhou', 'China')","('24.3564639', '117.4824895')","('24.6764639', '117.8024895')",48.041706912098014 km
