,City,Lat-Long 1,Lat-Long 2,Box size
12374,"('Lushnjë', 'Albania')","('40.876279', '19.6158235')","('40.9571926', '19.7379001')",13.656474069027448 km
12375,"('Princeton', 'United States')","('40.3048856', '-74.7220946')","('40.3917693', '-74.617508')",13.116018886072883 km
12376,"('Athens', 'United States')","('33.8480209', '-83.5374696')","('34.039466', '-83.2408342')",34.68342246325168 km
12377,"('Falmouth', 'United States')","('38.654218', '-84.3467187')","('38.6828463', '-84.32125')",3.8746176656657654 km
12378,"('Werl', 'Germany')","('51.5087631', '7.8270933')","('51.595809', '7.9985595')",15.337434782633574 km
12379,"('Warwick', 'United States')","('41.629397', '-71.518913')","('41.768333', '-71.3566566')",20.507137407473184 km
12380,"('Loughton', 'United Kingdom')","('52.0093463', '-0.8021353')","('52.0493463', '-0.7621353')",5.229309537235106 km
12381,"('Orillia', 'Canada')","('44.4492059', '-79.5775587')","('44.7692059', '-79.2575587')",43.700613386939146 km
12382,"('Tokmak', 'Ukraine')","('47.2234412', '35.6385163')","('47.300314', '35.773212')",13.302772856395372 km
12383,"('Chitral', 'Pakistan')","('35.690889', '71.6301897')","('36.010889', '71.9501897')",45.78494103009607 km
12384,"('Cândido Mota', 'Brazil')","('-22.9439565', '-50.578')","('-22.673', '-50.262')",44.19148348288715 km
12385,"('Bramsche', 'Germany')","('52.3591395', '7.8421762')","('52.481047', '8.1587888')",25.455755792438904 km
12386,"('Springfield', 'United States')","('39.653656', '-89.773182')","('39.87417', '-89.56851')",30.116828210482026 km
12387,"('Naugatuck', 'United States')","('41.456292', '-73.10463')","('41.519834', '-73.001812')",11.114476732445917 km
12388,"('Río Grande', 'Argentina')","('-53.8249298', '-67.7921196')","('-53.7341525', '-67.6372254')",14.364709542299165 km
12389,"('Columbus', 'United States')","('39.8086936', '-83.2101797')","('40.157272', '-82.7713119')",53.881254553195134 km
12390,"('Bochnia', 'Poland')","('49.9377297', '20.3861176')","('50.0117328', '20.472605')",10.307452306399988 km
12391,"('Schönebeck', 'Germany')","('51.9979051', '11.7259725')","('52.0328958', '11.804118')",6.628849366427356 km
12392,"('South Riding', 'United States')","('38.878018', '-77.557342')","('38.958018', '-77.477342')",11.26993408322465 km
12393,"('Mundelein', 'United States')","('42.2275402', '-88.068177')","('42.299623', '-87.938588')",13.357806566202639 km
12394,"('Lucapa', 'Angola')","('-8.5795244', '20.5810918')","('-8.2595244', '20.9010918')",49.94461093152705 km
12395,"('Bielawa', 'Poland')","('50.6363892', '16.5366423')","('50.7145536', '16.6690099')",12.773065678925658 km
12396,"('Cicero', 'United States')","('41.8215433', '-87.779041')","('41.8659668', '-87.7384854')",5.974183515258729 km
12397,"('Dyurtyuli', 'Russia')","('55.4569605', '54.8332507')","('55.5086939', '54.8860246')",6.65624166090678 km
12398,"('Harpenden', 'United Kingdom')","('51.7814567', '-0.3915703')","('51.8614567', '-0.3115703')",10.471719049764703 km
12399,"('Fair Oaks', 'United States')","('39.3584978', '-123.3613984')","('39.3984978', '-123.3213984')",5.62140220627182 km
12400,"('Tewksbury', 'United States')","('42.5645385', '-71.2963199')","('42.657669', '-71.1648785')",14.94483782136167 km
12401,"('Mocímboa da Praia', 'Mozambique')","('-11.5038956', '40.1976715')","('-11.1838956', '40.5176715')",49.730728401594966 km
12402,"('Huamachuco', 'Peru')","('-7.9573489', '-78.1876522')","('-7.6942669', '-77.8811095')",44.604475772250495 km
12403,"('Nartkala', 'Russia')","('43.5331771', '43.8320214')","('43.5727787', '43.8808')",5.907209721014304 km
12404,"('Əmircan', 'Azerbaijan')","('40.3965119', '49.9792264')","('40.4437481', '50.016196')",6.112011132930858 km
12405,"('Rexburg', 'United States')","('43.793557', '-111.837883')","('43.862973', '-111.747941')",10.574821697275445 km
12406,"('Burgdorf', 'Germany')","('52.4079312', '9.9197157')","('52.54047', '10.1026286')",19.287146516880497 km
12407,"('Rostov', 'Russia')","('47.1533773', '39.4047313')","('47.3687328', '39.8513903')",41.42491537919819 km
12408,"('Ambanja', 'Madagascar')","('-13.7158118', '48.4127762')","('-13.6358118', '48.4927762')",12.379110380666681 km
12409,"('Einbeck', 'Germany')","('51.7308974', '9.7585728')","('51.9138654', '10.0413467')",28.1881724295936 km
12410,"('Neuruppin', 'Germany')","('52.7919212', '12.6592389')","('53.0996851', '12.9863611')",40.70094424848566 km
12411,"('Mossendjo', 'Congo (Brazzaville)')","('-2.9855305', '12.6752756')","('-2.9055305', '12.7552756')",12.54415364547832 km
12412,"('Nogales', 'United States')","('31.3326393', '-110.976973')","('31.396067', '-110.889283')",10.911414105026301 km
12413,"('Nicholasville', 'United States')","('37.832512', '-84.627279')","('37.963316', '-84.506815')",17.973535013325865 km
12414,"('Hirakawachō', 'Japan')","('35.6785745', '139.7382083')","('35.6834409', '139.74307')",0.6965859480436646 km
12415,"('Goleta', 'United States')","('34.4137607', '-119.921877')","('34.45877', '-119.8050597')",11.84080947099892 km
12416,"('Opelika', 'United States')","('32.7265', '-85.392938')","('32.727175', '-85.392049')",0.11201929854822325 km
12417,"('Laylá', 'Saudi Arabia')","('22.1329472', '46.5571558')","('22.4529472', '46.8771558')",48.40476508727124 km
12418,"('Butte', 'United States')","('45.624854', '-113.0855378')","('46.185468', '-112.190038')",93.33263087344896 km
12419,"('Alma', 'Canada')","('48.4899043', '-71.7877268')","('48.6889824', '-71.5315936')",29.105213393179124 km
12420,"('Algonquin', 'United States')","('42.132424', '-88.383726')","('42.197458', '-88.257597')",12.681418110965318 km
12421,"('Písek', 'Czechia')","('49.2374007', '14.1000489')","('49.3359452', '14.2385959')",14.889884396207492 km
12422,"('Motomiya', 'Japan')","('37.467312', '140.315069')","('37.554316', '140.517642')",20.347320378819575 km
12423,"('Lakeside', 'United States')","('42.6102732', '-95.1908031')","('42.624322', '-95.1712081')",2.240566923285333 km
12424,"('Radcliffe', 'United Kingdom')","('53.5193382', '-2.3661546')","('53.5993382', '-2.2861546')",10.36245443743312 km
12425,"('Aiken', 'United States')","('33.471154', '-81.779033')","('33.590592', '-81.672086')",16.558423596085298 km
12426,"('Princeton', 'United States')","('40.3048856', '-74.7220946')","('40.3917693', '-74.617508')",13.116018886072883 km
12427,"('Unterschleißheim', 'Germany')","('48.2551324', '11.5138273')","('48.2991862', '11.5967226')",7.864743368510196 km
12428,"('Lawrenceville', 'United States')","('33.91212', '-84.046143')","('33.990655', '-83.952363')",12.289549818648966 km
12429,"('Navahrudak', 'Belarus')","('53.5737527', '25.7832895')","('53.6157033', '25.8533172')",6.580093159673047 km
12430,"('Lohmar', 'Germany')","('50.8118291', '7.1908103')","('50.9285324', '7.3065632')",15.32793098657521 km
12431,"('Winter Park', 'United States')","('28.567973', '-81.3876611')","('28.632335', '-81.308926')",10.49718307909705 km
12432,"('Granger', 'United States')","('41.7392181', '-93.84384')","('41.7769048', '-93.7983483')",5.642170330544245 km
12433,"('Carshalton', 'United Kingdom')","('51.3257883', '-0.2010857')","('51.4057883', '-0.1210857')",10.500455365661532 km
12434,"('Fitchburg', 'United States')","('42.5437857', '-71.8629526')","('42.637985', '-71.7477419')",14.103987115660034 km
12435,"('Togitsu', 'Japan')","('32.809613', '129.7911412')","('32.9174097', '129.8682891')",13.966348802462603 km
12436,"('Qahderījān', 'Iran')","('32.5633183', '51.4369876')","('32.5941695', '51.4738131')",4.864275041323079 km
12437,"('Arcos de la Frontera', 'Spain')","('36.6462879', '-5.9460432')","('36.8520856', '-5.5282204')",43.747227268263444 km
12438,"('Tekeli', 'Kazakhstan')","('44.7706637', '78.6898932')","('44.8873072', '79.0211734')",29.229373984881093 km
12439,"('Wooster', 'United States')","('40.747666', '-81.979975')","('40.8660854', '-81.8856295')",15.372422609102232 km
12440,"('Synel’nykove', 'Ukraine')","('48.2896476', '35.4627012')","('48.3398361', '35.5534283')",8.742311742641801 km
12441,"('Matsubushi', 'Japan')","('35.906137', '139.802429')","('35.968967', '139.849285')",8.15339511582249 km
12442,"('South Kingstown', 'United States')","('41.3611122', '-71.6245657')","('41.5252921', '-71.4469031')",23.51431175049572 km
12443,"('Fountain', 'United States')","('38.5633931', '-104.747843')","('38.751395', '-104.62782')",23.338688545254804 km
12444,"('Needham', 'United States')","('31.981927', '-88.350105')","('31.99282', '-88.324402')",2.712834431964983 km
12445,"('Sandanski', 'Bulgaria')","('41.5254156', '23.2386429')","('41.6054156', '23.3186429')",11.111932084724453 km
12446,"('Orangeville', 'Canada')","('43.8892469', '-80.1458662')","('43.9353811', '-80.0658123')",8.223390746839756 km
12447,"('Emmen', 'Switzerland')","('47.0648022', '8.2237132')","('47.111646', '8.3383533')",10.143592097141743 km
12448,"('Ross Township', 'United States')","('40.487266', '-80.0645669')","('40.55398', '-79.985562')",9.985246918776925 km
12449,"('Pápa', 'Hungary')","('47.2499831', '17.3943923')","('47.3897753', '17.5744867')",20.66203909068054 km
12450,"('Fort Erie', 'Canada')","('42.835372', '-79.1225511')","('42.9840558', '-78.9057901')",24.2103593932034 km
12451,"('Madruga', 'Cuba')","('22.8385616', '-81.9841689')","('23.0557136', '-81.6778032')",39.568009541120915 km
12452,"('Newburgh', 'United States')","('41.487212', '-74.048638')","('41.519208', '-73.997484')",5.555992164748397 km
12453,"('Juquitiba', 'Brazil')","('-24.0641176', '-47.2085771')","('-23.835', '-46.8062425')",48.1789178764851 km
12454,"('Draveil', 'France')","('48.6536966', '2.3859768')","('48.701837', '2.4637783')",7.841297331136459 km
12455,"('Ar Raḩmānīyah', 'Egypt')","('30.799167', '30.321111')","('31.439167', '30.961111')",93.60341773037788 km
12456,"('Brooklyn Center', 'United States')","('45.0402906', '-93.3511802')","('45.0873637', '-93.2810848')",7.605588874698265 km
12457,"('Puerto de la Cruz', 'Spain')","('28.3894545', '-16.5705013')","('28.4210336', '-16.519803')",6.076966036849734 km
12458,"('Mława', 'Poland')","('53.0909439', '20.3253827')","('53.1775582', '20.4379816')",12.235483023388841 km
12459,"('Banamba', 'Mali')","('13.5085166', '-7.486532')","('13.5885166', '-7.406532')",12.38228178597433 km
12460,"('Mercedes', 'Argentina')","('-34.6718669', '-59.4695172')","('-34.629458', '-59.3972975')",8.122001301018766 km
12461,"('Thung Song', 'Thailand')","('8.1258711', '99.638209')","('8.2058711', '99.718209')",12.490068134976076 km
12462,"('Curanilahue', 'Chile')","('-37.6876995', '-73.5055508')","('-37.3286392', '-72.9811475')",61.13794389382028 km
12463,"('Piešťany', 'Slovakia')","('48.5495247', '17.7813848')","('48.6295247', '17.8613848')",10.675735148052784 km
12464,"('Victoria', 'Argentina')","('-34.4888569', '-58.6055477')","('-34.4383142', '-58.5189071')",9.736814844798134 km
12465,"('Kerrville', 'United States')","('29.9617998', '-99.2116383')","('30.1013337', '-99.0716586')",20.531702651986024 km
12466,"('Wuyuan', 'China')","('29.0188751', '117.3698689')","('29.5786589', '118.2043491')",102.09302095046931 km
12467,"('Barstow', 'United States')","('34.804475', '-117.153384')","('34.917948', '-116.9091579')",25.636126765148898 km
12468,"('Ennepetal', 'Germany')","('51.2388271', '7.2964768')","('51.3323022', '7.4327458')",14.09007503456966 km
12469,"('Ypacaraí', 'Paraguay')","('-25.4513632', '-57.3313914')","('-25.3382234', '-57.1930094')",18.734613005392504 km
12470,"('North Andover', 'United States')","('42.604137', '-71.1458576')","('42.7411036', '-71.0223096')",18.27749565770541 km
12471,"('Riesa', 'Germany')","('51.2595889', '13.2031217')","('51.3386611', '13.3880697')",15.613445898916737 km
12472,"('Mount Gambier', 'Australia')","('-37.8550797', '140.7374821')","('-37.7942924', '140.8261967')",10.321148222813472 km
12473,"('Kirov', 'Russia')","('58.482039', '49.3434343')","('58.7022608', '49.8084089')",36.50848961448527 km
12474,"('Cranberry', 'United States')","('37.8017804', '-81.2151013')","('37.8417804', '-81.1751013')",5.666931384880897 km
12475,"('Horki', 'Belarus')","('54.2489335', '30.945896')","('54.3178459', '31.0331019')",9.54451542576948 km
12476,"('Canton', 'United States')","('32.5205501', '-95.927087')","('32.6008381', '-95.8044919')",14.55446461851397 km
12477,"('Andernach', 'Germany')","('50.386007', '7.2869285')","('50.4766043', '7.4506367')",15.390313506977021 km
12478,"('Trutnov', 'Czechia')","('50.547236', '15.8833659')","('50.5832452', '15.9685525')",7.24388865937555 km
12479,"('Villa Donato Guerra', 'Mexico')","('19.289157', '-100.1635892')","('19.329157', '-100.1235892')",6.105568995667975 km
12480,"('Ob', 'Russia')","('54.9791798', '82.6056989')","('55.0231072', '82.7524927')",10.590309746967602 km
12481,"('Hajdúböszörmény', 'Hungary')","('47.5970393', '21.2326809')","('47.7973015', '21.6303659')",37.24018593714483 km
12482,"('Sevenoaks', 'United Kingdom')","('51.2491673', '0.1703503')","('51.3001304', '0.2252613')",6.843228556446908 km
12483,"('Auburn', 'United States')","('32.525093', '-85.581865')","('32.730713', '-85.404466')",28.23322839856468 km
12484,"('Osterholz-Scharmbeck', 'Germany')","('53.1831181', '8.6598246')","('53.3268615', '8.9503817')",25.138938647732008 km
12485,"('North Huntingdon', 'United States')","('40.287509', '-79.7886431')","('40.387042', '-79.665107')",15.242774764605162 km
12486,"('Ts’khinvali', 'Georgia')","('42.204979', '43.9487084')","('42.2524131', '43.9862577')",6.1130939910682525 km
12487,"('Orcutt', 'United States')","('34.8250717', '-120.4766904')","('34.9050717', '-120.3966904')",11.50113036761533 km
12488,"('Crown Point', 'United States')","('41.369207', '-87.397583')","('41.453734', '-87.296715')",12.619593758633998 km
12489,"('Slavgorod', 'Russia')","('52.9485789', '78.5616224')","('53.0224125', '78.7067241')",12.7466851915062 km
12490,"('Windsor', 'United States')","('38.492297', '-122.861144')","('38.5674', '-122.760208')",12.122993952856465 km
12491,"('Kórinthos', 'Greece')","('37.7786936', '22.7680447')","('38.0986936', '23.0880447')",45.30829183173122 km
12492,"('Deptford', 'United States')","('39.7871755', '-75.1635892')","('39.8671755', '-75.0835892')",11.216218614186948 km
12493,"('Taunusstein', 'Germany')","('50.0936766', '8.0980898')","('50.2213859', '8.2431337')",17.58481881624334 km
12494,"('Gloucester', 'United States')","('42.5273964', '-70.7574388')","('42.7432656', '-70.5622755')",28.83193738006574 km
12495,"('Ust’-Dzheguta', 'Russia')","('44.0404834', '41.9375423')","('44.152863', '42.0289081')",14.472416062077482 km
12496,"('Iguape', 'Brazil')","('-24.846', '-47.83')","('-24.336', '-47.0780885')",94.81946784294271 km
12497,"('Mont-de-Marsan', 'France')","('43.8544441', '-0.5559748')","('43.9313151', '-0.4461954')",12.278351700611774 km
12498,"('Télimélé', 'Guinea')","('10.8620333', '-13.0726711')","('10.9420333', '-12.9926711')",12.44175696121441 km
12499,"('Huanta', 'Peru')","('-12.9845117', '-74.29942')","('-12.8180034', '-74.1287162')",26.12543971759129 km
12500,"('Gurnee', 'United States')","('42.327436', '-88.00303')","('42.403852', '-87.884292')",12.950665848222588 km
12501,"('Orangeburg', 'United States')","('33.442071', '-80.897776')","('33.532841', '-80.83323')",11.719216213740497 km
12502,"('Vinces', 'Ecuador')","('-1.6438989', '-79.8782343')","('-1.3085215', '-79.5064266')",55.56259283414307 km
12503,"('Holladay', 'United States')","('40.6311654', '-111.854463')","('40.6870604', '-111.7864251')",8.463605080025333 km
12504,"('Fuquay-Varina', 'United States')","('35.5441924', '-78.8677111')","('35.6718211', '-78.6765254')",22.374231201721454 km
12505,"('Newington', 'United States')","('43.0590349', '-70.8799648')","('43.1271094', '-70.7828331')",10.94234310437356 km
12506,"('Chamblee', 'United States')","('33.840573', '-84.322477')","('33.919882', '-84.273012')",9.916071480184346 km
12507,"('Kondopoga', 'Russia')","('62.1596427', '34.2147353')","('62.2494921', '34.3467768')",12.144999272802036 km
12508,"('Décines-Charpieu', 'France')","('45.7442244', '4.9325798')","('45.8076569', '4.9854684')",8.16256291286096 km
12509,"('Yoshinaga', 'Japan')","('35.3796912', '133.3948662')","('35.3996912', '133.4148662')",2.8680107243808557 km
12510,"('Peru', 'United States')","('41.309511', '-89.183075')","('41.382106', '-89.105732')",10.339463451211275 km
12511,"('Kibiti', 'Tanzania')","('-7.7360937', '38.926208')","('-7.7106609', '38.9480927')",3.7067460465560464 km
12512,"('Cihuatlán', 'Mexico')","('19.1990374', '-104.6018485')","('19.2790374', '-104.5218485')",12.213551666631304 km
12513,"('Rushden', 'United Kingdom')","('52.2511567', '-0.6388177')","('52.3311567', '-0.5588177')",10.442128472928578 km
12514,"('Kombissiri', 'Burkina Faso')","('12.0266555', '-1.3755778')","('12.1066555', '-1.2955778')",12.417110740248999 km
12515,"('Cornelius', 'United States')","('35.439268', '-80.9465')","('35.507327', '-80.8160057')",14.045978363988846 km
12516,"('Gorodets', 'Russia')","('56.6045591', '43.3450131')","('56.6904505', '43.5085123')",13.85914440019838 km
12517,"('Ban Aranyik', 'Thailand')","('14.4743255', '100.5930746')","('14.5542802', '100.6898153')",13.674650508791485 km
12518,"('North Tonawanda', 'United States')","('43.0189612', '-78.906266')","('43.073825', '-78.8254071')",8.975277348773172 km
12519,"('Gaggenau', 'Germany')","('48.7693393', '8.2849864')","('48.8626318', '8.4173633')",14.217925827686248 km
12520,"('Los Gatos', 'United States')","('37.201499', '-121.99732')","('37.26523', '-121.90569')",10.776955570665537 km
12521,"('Moanda', 'Gabon')","('-1.594004', '13.180574')","('-1.514004', '13.260574')",12.550015239539709 km
12522,"('Bad Hersfeld', 'Germany')","('50.8134112', '9.6108757')","('50.9091501', '9.8291736')",18.699188621434704 km
12523,"('Saint-Étienne-du-Rouvray', 'France')","('49.3567681', '1.0580101')","('49.4097835', '1.1237186')",7.584717989730525 km
12524,"('South Lake Tahoe', 'United States')","('38.881206', '-120.0226588')","('38.9764031', '-119.929902')",13.2808469784336 km
12525,"('LaSalle', 'Canada')","('45.4100756', '-73.6661043')","('45.4576961', '-73.5300834')",11.886822982281116 km
12526,"('Friedberg', 'Germany')","('48.2977753', '10.9337844')","('48.4310061', '11.0802818')",18.366196075137832 km
12527,"('Clinton', 'United States')","('41.7937928', '-90.3451628')","('41.9101676', '-90.1623274')",19.93997500444199 km
12528,"('Northfleet', 'United Kingdom')","('51.3934756', '0.3106604')","('51.4693404', '0.3734349')",9.502631588965972 km
12529,"('Saratoga', 'United States')","('37.236015', '-122.066441')","('37.296332', '-121.98948')",9.560975176542971 km
12530,"('Kalgoorlie', 'Australia')","('-30.768248', '121.456201')","('-30.735408', '121.481267')",4.360726993813754 km
12531,"('Lismore', 'Australia')","('-29.0714399', '153.0736578')","('-28.5158299', '153.450036')",71.71001976010638 km
12532,"('Sue', 'Japan')","('33.575396', '130.4883043')","('33.615131', '130.5629093')",8.20838067259614 km
12533,"('Sainte-Julie', 'Canada')","('45.5513629', '-73.3830066')","('45.6507897', '-73.2763936')",13.831179484086455 km
12534,"('Los Altos', 'United States')","('37.3285006', '-122.129665')","('37.406548', '-122.0596397')",10.653997141634365 km
12535,"('Pervomaiskyi', 'Ukraine')","('49.3293795', '36.1877192')","('49.4163151', '36.2750044')",11.561442603619696 km
12536,"('Vienne', 'France')","('45.4867243', '4.8358868')","('45.5574883', '4.9233427')",10.418337615211493 km
12537,"('Ballwin', 'United States')","('38.560055', '-90.5856717')","('38.6244989', '-90.510548')",9.695970787524221 km
12538,"('Atascadero', 'United States')","('35.438724', '-120.746163')","('35.5339105', '-120.617967')",15.711837146172341 km
12539,"('Soledade', 'Brazil')","('-29.1441312', '-52.8168047')","('-28.6347778', '-52.2495174')",79.04988316553384 km
12540,"('North Royalton', 'United States')","('41.2764491', '-81.785339')","('41.350942', '-81.704472')",10.69099318593669 km
12541,"('Budaörs', 'Hungary')","('47.4281209', '18.8741507')","('47.4864198', '18.9826683')",10.438821454111437 km
12542,"('Villa Ángela', 'Argentina')","('-27.6157768', '-60.7542717')","('-27.536587', '-60.6868564')",11.014464578732817 km
12543,"('Schwedt (Oder)', 'Germany')","('52.9613691', '14.0751142')","('53.1754461', '14.382268')",31.487852625693215 km
12544,"('Saalfeld', 'Germany')","('51.2441978', '10.5070994')","('51.2841978', '10.5470994')",5.2534332175142024 km
12545,"('Meschede', 'Germany')","('51.2507209', '8.0965476')","('51.4107402', '8.3741186')",26.290837762510968 km
12546,"('Somerset', 'United States')","('29.2203368', '-98.6802253')","('29.2408402', '-98.6388129')",4.623296309904091 km
12547,"('Villa Regina', 'Argentina')","('-39.1182978', '-67.1210729')","('-39.0822726', '-67.0605104')",6.5910118133208755 km
12548,"('Derne', 'Germany')","('51.5488971', '7.5018117')","('51.5888971', '7.5418117')",5.243822256650001 km
12549,"('Siraha', 'Nepal')","('26.5931707', '86.1469923')","('26.7148227', '86.2700128')",18.21209299833862 km
12550,"('Neuburg', 'Germany')","('53.9242176', '11.5405376')","('53.994114', '11.677716')",11.89972860010526 km
12551,"('Casma', 'Peru')","('-9.7948455', '-78.3983614')","('-9.2009227', '-77.9648154')",81.12613304688787 km
12552,"('Devarkonda', 'India')","('16.6531795', '78.8747252')","('16.7331795', '78.9547252')",12.295765851273213 km
12553,"('Merzig', 'Germany')","('49.3974379', '6.5042406')","('49.5048155', '6.7252024')",19.982813366103017 km
12554,"('Bourèm Guindou', 'Mali')","('16.8904621', '-0.377263')","('16.9304621', '-0.337263')",6.1445839813178775 km
12555,"('Kelkheim (Taunus)', 'Germany')","('50.1011295', '8.3761191')","('50.1879338', '8.4865824')",12.472900614007498 km
12556,"('Mavinga', 'Angola')","('-15.8343989', '20.3256709')","('-15.7543989', '20.4056709')",12.32221611007797 km
12557,"('Leduc', 'Canada')","('53.2360565', '-113.6104156')","('53.3085756', '-113.488416')",11.462185278555491 km
12558,"('Arlon', 'Belgium')","('49.621875', '5.6784911')","('49.727234', '5.9106426')",20.447349319155155 km
12559,"('Milford Mill', 'United States')","('39.3205219', '-76.7955323')","('39.3694966', '-76.7446658')",6.985077187561341 km
12560,"('Waltrop', 'Germany')","('51.5869781', '7.3190736')","('51.662764', '7.4652912')",13.176745878293254 km
12561,"('Tönisvorst', 'Germany')","('51.2775364', '6.3871285')","('51.3492985', '6.5156879')",12.003682349201785 km
12562,"('Svendborg', 'Denmark')","('55.0232573', '10.5668652')","('55.1032573', '10.6468652')",10.268569637978837 km
12563,"('Giannitsá', 'Greece')","('40.7529908', '22.3740645')","('40.8329908', '22.4540645')",11.158516914972857 km
12564,"('Schwelm', 'Germany')","('51.2495778', '7.2557258')","('51.3167965', '7.3202988')",8.730546718531196 km
12565,"('Asipovichy', 'Belarus')","('53.2836934', '28.5777177')","('53.3325263', '28.683094')",8.881191253800411 km
12566,"('Cannock', 'United Kingdom')","('52.648227', '-2.0724197')","('52.728227', '-1.9924197')",10.417143807205063 km
12567,"('Casa Branca', 'Brazil')","('-22.0106589', '-47.24')","('-21.5679901', '-46.954')",57.2475692357934 km
12568,"('Paraparaumu', 'New Zealand')","('-40.9544636', '174.9661963')","('-40.8744636', '175.0461963')",11.151215751772442 km
12569,"('Stockbridge', 'United States')","('33.479245', '-84.292175')","('33.572707', '-84.159687')",16.09135816210091 km
12570,"('Orlová', 'Czechia')","('49.8118701', '18.3931021')","('49.8878379', '18.4590754')",9.690625054270978 km
12571,"('East Liverpool', 'United States')","('40.614143', '-80.5987834')","('40.654017', '-80.518991')",8.072991916667622 km
12572,"('Leonding', 'Austria')","('48.2436654', '14.2046198')","('48.3098209', '14.2813679')",9.3040665146636 km
12573,"('Aral', 'Kazakhstan')","('46.7815183', '61.6299085')","('46.8215001', '61.7086581')",7.476187415784101 km
12574,"('Madison Heights', 'United States')","('42.476018', '-83.1263857')","('42.534792', '-83.0845221')",7.380017352269575 km
12575,"('Gyöngyös', 'Hungary')","('47.7327165', '19.8816779')","('47.8847308', '20.0220036')",19.90342726864479 km
12576,"('Vaihingen an der Enz', 'Germany')","('48.915056', '8.937593')","('48.946911', '9.0028602')",5.9514812936252985 km
12577,"('Kınık', 'Turkey')","('38.922725', '27.2214174')","('39.1647119', '27.5638497')",40.006834102840905 km
12578,"('Kabalo', 'Congo (Kinshasa)')","('-6.0646757', '26.9104308')","('-6.0390487', '26.9230479')",3.1595086413274256 km
12579,"('Williston', 'United States')","('48.132554', '-103.712359')","('48.24476', '-103.561031')",16.800780917973505 km
12580,"('Labasa', 'Fiji')","('-16.4732753', '179.3264854')","('-16.3932753', '179.4064854')",12.30355454501533 km
12581,"('Dedovsk', 'Russia')","('55.8521018', '37.0955373')","('55.8829318', '37.1480714')",4.753935836963544 km
12582,"('Heywood', 'United Kingdom')","('53.5567685', '-2.2639715')","('53.6367685', '-2.1839715')",10.360108911963763 km
12583,"('Bretten', 'Germany')","('48.9885269', '8.6351383')","('49.0983467', '8.7632662')",15.391703413264798 km
12584,"('Mandalī', 'Iraq')","('32.5', '44.4')","('34.5', '46.4')",289.37236326809494 km
12585,"('Eagle', 'United States')","('43.6628183', '-116.4633612')","('43.7897103', '-116.3064714')",18.93596054387954 km
12586,"('Lake Magdalene', 'United States')","('28.0541832', '-82.4917613')","('28.0941832', '-82.4517613')",5.92526915867226 km
12587,"('Igarapava', 'Brazil')","('-20.159', '-47.8760804')","('-19.9802003', '-47.509')",43.19873123603136 km
12588,"('Alushta', 'Ukraine')","('44.6322134', '34.3738719')","('44.702688', '34.4258246')",8.849088754594362 km
12589,"('Nirasaki', 'Japan')","('35.662535', '138.296891')","('35.7739678', '138.520694')",23.72647167218149 km
12590,"('Rancharia', 'Brazil')","('-22.675', '-51.111')","('-21.9508639', '-50.7085597')",90.27319619292014 km
12591,"('Steinheim am Main', 'Germany')","('50.0866494', '8.8743714')","('50.1289848', '8.9184873')",5.668700642771813 km
12592,"('Alquízar', 'Cuba')","('22.6801493', '-82.6768963')","('22.8532598', '-82.5314418')",24.303157016390447 km
12593,"('Hanawa', 'Japan')","('36.84185', '140.289446')","('37.017129', '140.593291')",33.334578568432164 km
12594,"('Friedberg', 'Germany')","('48.2977753', '10.9337844')","('48.4310061', '11.0802818')",18.366196075137832 km
12595,"('Carney', 'United States')","('39.3542737', '-76.563576')","('39.4342737', '-76.483576')",11.241871256908073 km
12596,"('Maryville', 'United States')","('38.703964', '-90.005722')","('38.745424', '-89.928369')",8.15054407685516 km
12597,"('Rietberg', 'Germany')","('51.7174252', '8.3331904')","('51.8762047', '8.5338081')",22.44223370471593 km
12598,"('Piraju', 'Brazil')","('-23.3366502', '-49.573')","('-23.051', '-49.197')",49.824533353688786 km
12599,"('Mamaroneck', 'United States')","('40.889044', '-73.755499')","('40.969379', '-73.709674')",9.72049974180173 km
12600,"('Asha', 'Russia')","('54.9567172', '57.1889973')","('55.0310915', '57.3240886')",11.971267785718636 km
12601,"('Bosanska Krupa', 'Bosnia And Herzegovina')","('44.8424428', '16.1177')","('44.9224428', '16.1977')",10.908200212285568 km
12602,"('Hirado', 'Japan')","('33.0778577', '129.1691824')","('33.7567437', '129.6666222')",88.3751578491514 km
12603,"('Livingston', 'United States')","('30.682624', '-94.970294')","('30.742012', '-94.908228')",8.871065045528855 km
12604,"('Walnut', 'United States')","('33.693563', '-117.80378')","('33.7216155', '-117.7822993')",3.694127568075446 km
12605,"('North Cowichan', 'Canada')","('48.7531338', '-123.7843632')","('48.9366199', '-123.5538369')",26.50766179180377 km
12606,"('Rendsburg', 'Germany')","('54.2549934', '9.6081554')","('54.3387644', '9.712058')",11.520076364932898 km
12607,"('Garden City', 'United States')","('37.9369447', '-100.9016843')","('38.0035673', '-100.7925132')",12.112071193106178 km
12608,"('Texarkana', 'United States')","('33.3813921', '-94.1448618')","('33.5119622', '-94.0430416')",17.301776513886654 km
12609,"('Güstrow', 'Germany')","('53.750922', '12.119024')","('53.837105', '12.294451')",15.021851196064938 km
12610,"('Kent', 'United States')","('47.32976', '-122.3094097')","('47.4412193', '-121.995964')",26.715228879455914 km
